SSID, BSS, RSSI, canal, hora
"IZZI-BD4C", "E0:A1:CE:9C:BD:4C", "-89", "2", "10:14:31"
"IZZI-BD4C", "E0:A1:CE:9C:BD:4C", "-89", "2", "10:14:33"
"IZZI-BD4C", "E0:A1:CE:9C:BD:4C", "-89", "2", "10:14:35"
"IZZI-BD4C", "E0:A1:CE:9C:BD:4C", "-89", "2", "10:14:38"
"IZZI-BD4C", "E0:A1:CE:9C:BD:4C", "-89", "2", "10:14:40"
"IZZI-BD4C", "E0:A1:CE:9C:BD:4C", "-89", "2", "10:14:43"
"IZZI-BD4C", "E0:A1:CE:9C:BD:4C", "-89", "2", "10:14:45"
"IZZI-BD4C", "E0:A1:CE:9C:BD:4C", "-89", "2", "10:14:48"
"IZZI-BD4C", "E0:A1:CE:9C:BD:4C", "-89", "2", "10:14:50"
"IZZI-BD4C", "E0:A1:CE:9C:BD:4C", "-89", "2", "10:14:53"
"IZZI-BD4C", "E0:A1:CE:9C:BD:4C", "-89", "2", "10:14:55"
"IZZI-BD4C", "E0:A1:CE:9C:BD:4C", "-89", "2", "10:14:57"
"59dd64", "0C:54:A5:F4:54:FC", "-92", "11", "10:14:23"
"59dd64", "0C:54:A5:F4:54:FC", "-92", "11", "10:14:26"
"59dd64", "0C:54:A5:F4:54:FC", "-92", "11", "10:14:28"
"59dd64", "0C:54:A5:F4:54:FC", "-92", "11", "10:14:31"
"59dd64", "0C:54:A5:F4:54:FC", "-92", "11", "10:14:33"
"59dd64", "0C:54:A5:F4:54:FC", "-92", "11", "10:14:35"
"59dd64", "0C:54:A5:F4:54:FC", "-92", "11", "10:14:38"
"59dd64", "0C:54:A5:F4:54:FC", "-92", "11", "10:14:40"
"59dd64", "0C:54:A5:F4:54:FC", "-92", "11", "10:14:43"
"59dd64", "0C:54:A5:F4:54:FC", "-92", "11", "10:14:45"
"59dd64", "0C:54:A5:F4:54:FC", "-92", "11", "10:14:48"
"59dd64", "0C:54:A5:F4:54:FC", "-92", "11", "10:14:50"
"59dd64", "0C:54:A5:F4:54:FC", "-92", "11", "10:14:53"
"INFINITUMI2KZ_2.4", "24:A5:2C:43:3B:44", "-94", "11", "10:14:26"
"INFINITUMI2KZ_2.4", "24:A5:2C:43:3B:44", "-94", "11", "10:14:28"
"INFINITUMI2KZ_2.4", "24:A5:2C:43:3B:44", "-94", "11", "10:14:31"
"INFINITUMI2KZ_2.4", "24:A5:2C:43:3B:44", "-94", "11", "10:14:33"
"INFINITUMI2KZ_2.4", "24:A5:2C:43:3B:44", "-94", "11", "10:14:35"
"INFINITUMI2KZ_2.4", "24:A5:2C:43:3B:44", "-94", "11", "10:14:38"
"INFINITUMI2KZ_2.4", "24:A5:2C:43:3B:44", "-94", "11", "10:14:40"
"INFINITUMI2KZ_2.4", "24:A5:2C:43:3B:44", "-94", "11", "10:14:43"
"INFINITUMI2KZ_2.4", "24:A5:2C:43:3B:44", "-94", "11", "10:14:45"
"INFINITUMI2KZ_2.4", "24:A5:2C:43:3B:44", "-94", "11", "10:14:48"
"INFINITUMI2KZ_2.4", "24:A5:2C:43:3B:44", "-94", "11", "10:14:50"
"INFINITUMI2KZ_2.4", "24:A5:2C:43:3B:44", "-94", "11", "10:14:53"
"IZZI-BD4C-5G", "E0:A1:CE:9C:BD:4E", "-92", "60", "10:14:09"
"IZZI-BD4C-5G", "E0:A1:CE:9C:BD:4E", "-93", "60", "10:14:11"
"IZZI-BD4C-5G", "E0:A1:CE:9C:BD:4E", "-93", "60", "10:14:14"
"IZZI-BD4C-5G", "E0:A1:CE:9C:BD:4E", "-91", "60", "10:14:16"
"IZZI-BD4C-5G", "E0:A1:CE:9C:BD:4E", "-91", "60", "10:14:19"
"IZZI-BD4C-5G", "E0:A1:CE:9C:BD:4E", "-91", "60", "10:14:21"
"IZZI-BD4C-5G", "E0:A1:CE:9C:BD:4E", "-91", "60", "10:14:23"
"IZZI-BD4C-5G", "E0:A1:CE:9C:BD:4E", "-94", "60", "10:14:26"
"IZZI-BD4C-5G", "E0:A1:CE:9C:BD:4E", "-94", "60", "10:14:28"
"IZZI-BD4C-5G", "E0:A1:CE:9C:BD:4E", "-94", "60", "10:14:31"
"IZZI-BD4C-5G", "E0:A1:CE:9C:BD:4E", "-94", "60", "10:14:33"
"IZZI-BD4C-5G", "E0:A1:CE:9C:BD:4E", "-94", "60", "10:14:35"
"IZZI-BD4C-5G", "E0:A1:CE:9C:BD:4E", "-94", "60", "10:14:38"
"IZZI-BD4C-5G", "E0:A1:CE:9C:BD:4E", "-94", "60", "10:14:40"
"IZZI-BD4C-5G", "E0:A1:CE:9C:BD:4E", "-94", "60", "10:14:43"
"IZZI-BD4C-5G", "E0:A1:CE:9C:BD:4E", "-94", "60", "10:14:45"
"IZZI-BD4C-5G", "E0:A1:CE:9C:BD:4E", "-93", "60", "10:14:48"
"IZZI-BD4C-5G", "E0:A1:CE:9C:BD:4E", "-93", "60", "10:14:50"
"IZZI-BD4C-5G", "E0:A1:CE:9C:BD:4E", "-93", "60", "10:14:53"
"IZZI-BD4C-5G", "E0:A1:CE:9C:BD:4E", "-93", "60", "10:14:55"
"IZZI-BD4C-5G", "E0:A1:CE:9C:BD:4E", "-93", "60", "10:14:57"
"IZZI-BD4C-5G", "E0:A1:CE:9C:BD:4E", "-94", "60", "10:15:00"
"IZZI-5852", "5C:A4:F4:F4:58:52", "-60", "8", "10:14:09"
"IZZI-5852", "5C:A4:F4:F4:58:52", "-66", "8", "10:14:11"
"IZZI-5852", "5C:A4:F4:F4:58:52", "-57", "8", "10:14:14"
"IZZI-5852", "5C:A4:F4:F4:58:52", "-71", "8", "10:14:16"
"IZZI-5852", "5C:A4:F4:F4:58:52", "-60", "8", "10:14:19"
"IZZI-5852", "5C:A4:F4:F4:58:52", "-57", "8", "10:14:21"
"IZZI-5852", "5C:A4:F4:F4:58:52", "-64", "8", "10:14:23"
"IZZI-5852", "5C:A4:F4:F4:58:52", "-64", "8", "10:14:26"
"IZZI-5852", "5C:A4:F4:F4:58:52", "-60", "8", "10:14:28"
"IZZI-5852", "5C:A4:F4:F4:58:52", "-64", "8", "10:14:31"
"IZZI-5852", "5C:A4:F4:F4:58:52", "-65", "8", "10:14:33"
"IZZI-5852", "5C:A4:F4:F4:58:52", "-62", "8", "10:14:35"
"IZZI-5852", "5C:A4:F4:F4:58:52", "-67", "8", "10:14:38"
"IZZI-5852", "5C:A4:F4:F4:58:52", "-62", "8", "10:14:40"
"IZZI-5852", "5C:A4:F4:F4:58:52", "-60", "8", "10:14:43"
"IZZI-5852", "5C:A4:F4:F4:58:52", "-58", "8", "10:14:45"
"IZZI-5852", "5C:A4:F4:F4:58:52", "-62", "8", "10:14:48"
"IZZI-5852", "5C:A4:F4:F4:58:52", "-58", "8", "10:14:50"
"IZZI-5852", "5C:A4:F4:F4:58:52", "-58", "8", "10:14:53"
"IZZI-5852", "5C:A4:F4:F4:58:52", "-53", "8", "10:14:55"
"IZZI-5852", "5C:A4:F4:F4:58:52", "-53", "8", "10:14:57"
"IZZI-5852", "5C:A4:F4:F4:58:52", "-55", "8", "10:15:00"
"", "5E:A4:F4:32:F0:7E", "-91", "52", "10:14:09"
"", "5E:A4:F4:32:F0:7E", "-89", "52", "10:14:11"
"", "5E:A4:F4:32:F0:7E", "-91", "52", "10:14:14"
"", "5E:A4:F4:32:F0:7E", "-87", "52", "10:14:16"
"", "5E:A4:F4:32:F0:7E", "-86", "52", "10:14:19"
"", "5E:A4:F4:32:F0:7E", "-88", "52", "10:14:21"
"", "5E:A4:F4:32:F0:7E", "-90", "52", "10:14:23"
"", "5E:A4:F4:32:F0:7E", "-85", "52", "10:14:26"
"", "5E:A4:F4:32:F0:7E", "-89", "52", "10:14:28"
"", "5E:A4:F4:32:F0:7E", "-85", "52", "10:14:31"
"", "5E:A4:F4:32:F0:7E", "-85", "52", "10:14:33"
